model_dir,dispersion_bucket,total,correct,accuracy_pct
DeepSeek-R1-671B,low,504,119,23.61111111111111
DeepSeek-R1-671B,mid,504,122,24.206349206349206
DeepSeek-R1-671B,high,504,113,22.42063492063492
Qwen,low,504,170,33.73015873015873
Qwen,mid,504,191,37.8968253968254
Qwen,high,504,151,29.96031746031746
gpt4,low,504,264,52.38095238095238
gpt4,mid,504,254,50.3968253968254
gpt4,high,504,262,51.98412698412698
ollama-llama3-1-latest,low,504,206,40.87301587301587
ollama-llama3-1-latest,mid,504,212,42.06349206349206
ollama-llama3-1-latest,high,504,213,42.26190476190476
ollama-llama3-8b,low,504,194,38.492063492063494
ollama-llama3-8b,mid,504,207,41.07142857142857
ollama-llama3-8b,high,504,209,41.46825396825397
ollama-qwen2-7b,low,504,235,46.62698412698413
ollama-qwen2-7b,mid,504,226,44.84126984126984
ollama-qwen2-7b,high,504,244,48.41269841269841
