model_dir,dispersion_bucket,skew_bucket,total,correct,accuracy_pct
DeepSeek-R1-671B,low,low,168,50,29.761904761904763
DeepSeek-R1-671B,low,mid,168,38,22.61904761904762
DeepSeek-R1-671B,low,high,168,31,18.452380952380953
DeepSeek-R1-671B,mid,low,168,44,26.19047619047619
DeepSeek-R1-671B,mid,mid,168,41,24.404761904761905
DeepSeek-R1-671B,mid,high,168,37,22.023809523809526
DeepSeek-R1-671B,high,low,168,47,27.976190476190474
DeepSeek-R1-671B,high,mid,168,37,22.023809523809526
DeepSeek-R1-671B,high,high,168,29,17.261904761904763
Qwen,low,low,168,72,42.857142857142854
Qwen,low,mid,168,53,31.547619047619047
Qwen,low,high,168,45,26.785714285714285
Qwen,mid,low,168,61,36.30952380952381
Qwen,mid,mid,168,69,41.07142857142857
Qwen,mid,high,168,61,36.30952380952381
Qwen,high,low,168,56,33.333333333333336
Qwen,high,mid,168,40,23.80952380952381
Qwen,high,high,168,55,32.73809523809524
gpt4,low,low,168,75,44.642857142857146
gpt4,low,mid,168,91,54.166666666666664
gpt4,low,high,168,98,58.333333333333336
gpt4,mid,low,168,77,45.833333333333336
gpt4,mid,mid,168,89,52.976190476190474
gpt4,mid,high,168,88,52.38095238095238
gpt4,high,low,168,71,42.26190476190476
gpt4,high,mid,168,92,54.76190476190476
gpt4,high,high,168,99,58.92857142857143
ollama-llama3-1-latest,low,low,168,59,35.11904761904762
ollama-llama3-1-latest,low,mid,168,67,39.88095238095238
ollama-llama3-1-latest,low,high,168,80,47.61904761904762
ollama-llama3-1-latest,mid,low,168,65,38.69047619047619
ollama-llama3-1-latest,mid,mid,168,68,40.476190476190474
ollama-llama3-1-latest,mid,high,168,79,47.023809523809526
ollama-llama3-1-latest,high,low,168,62,36.904761904761905
ollama-llama3-1-latest,high,mid,168,78,46.42857142857143
ollama-llama3-1-latest,high,high,168,73,43.45238095238095
ollama-llama3-8b,low,low,168,48,28.571428571428573
ollama-llama3-8b,low,mid,168,72,42.857142857142854
ollama-llama3-8b,low,high,168,74,44.04761904761905
ollama-llama3-8b,mid,low,168,58,34.523809523809526
ollama-llama3-8b,mid,mid,168,69,41.07142857142857
ollama-llama3-8b,mid,high,168,80,47.61904761904762
ollama-llama3-8b,high,low,168,46,27.38095238095238
ollama-llama3-8b,high,mid,168,72,42.857142857142854
ollama-llama3-8b,high,high,168,91,54.166666666666664
ollama-qwen2-7b,low,low,168,66,39.285714285714285
ollama-qwen2-7b,low,mid,168,79,47.023809523809526
ollama-qwen2-7b,low,high,168,90,53.57142857142857
ollama-qwen2-7b,mid,low,168,67,39.88095238095238
ollama-qwen2-7b,mid,mid,168,78,46.42857142857143
ollama-qwen2-7b,mid,high,168,81,48.214285714285715
ollama-qwen2-7b,high,low,168,74,44.04761904761905
ollama-qwen2-7b,high,mid,168,79,47.023809523809526
ollama-qwen2-7b,high,high,168,91,54.166666666666664
